gsName,gsGene,gsRange,gsSource,gsCitation
aDC_IRIS_3,ELL,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CUL1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ALDH1A2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SOCS3,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SPAG9,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TMSB10,ImmEva,xCell,PMID29141660
aDC_IRIS_3,MAP3K13,ImmEva,xCell,PMID29141660
aDC_IRIS_3,WTAP,ImmEva,xCell,PMID29141660
aDC_IRIS_3,N4BP1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ARHGEF11,ImmEva,xCell,PMID29141660
aDC_IRIS_3,HS3ST3B1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ABI1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ARPC4,ImmEva,xCell,PMID29141660
aDC_IRIS_3,MTHFD2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SEC24A,ImmEva,xCell,PMID29141660
aDC_IRIS_3,NEU3,ImmEva,xCell,PMID29141660
aDC_IRIS_3,OGFR,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TFEC,ImmEva,xCell,PMID29141660
aDC_IRIS_3,FAM175B,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TDRD7,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ACOT9,ImmEva,xCell,PMID29141660
aDC_IRIS_3,NUP62,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ABTB2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TRPC4AP,ImmEva,xCell,PMID29141660
aDC_IRIS_3,FBXL4,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CYTH4,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TOR1B,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SNX11,ImmEva,xCell,PMID29141660
aDC_IRIS_3,GPR132,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IL19,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CD209,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CHMP5,ImmEva,xCell,PMID29141660
aDC_IRIS_3,AZIN1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,C1orf27,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ARL8B,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ZNF654,ImmEva,xCell,PMID29141660
aDC_IRIS_3,MFN1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,NECAP2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CHFR,ImmEva,xCell,PMID29141660
aDC_IRIS_3,C5orf15,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CAMK1G,ImmEva,xCell,PMID29141660
aDC_IRIS_3,DENND1A,ImmEva,xCell,PMID29141660
aDC_IRIS_3,GPR107,ImmEva,xCell,PMID29141660
aDC_IRIS_3,MIIP,ImmEva,xCell,PMID29141660
aDC_IRIS_3,NSUN3,ImmEva,xCell,PMID29141660
aDC_IRIS_3,UBE2Z,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TNIP2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SLCO5A1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ADPGK,ImmEva,xCell,PMID29141660
aDC_IRIS_3,DOT1L,ImmEva,xCell,PMID29141660
aDC_IRIS_3,LILRA5,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,ADH1B,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,DLAT,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,GPD1,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,LBP,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,PLIN1,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,PPP1R1A,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,PPP2R1B,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,PTGER3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,CILP,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,ADIPOQ,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,COL5A3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_1,PNPLA2,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,ADH1B,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,ATP5G3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,DLAT,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,GPD1,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,HADHA,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,LBP,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,PLIN1,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,PPP1R1A,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,PPP2R1B,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,PTGER3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,CILP,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,ADIPOQ,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,COL5A3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_2,PNPLA2,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,ADH1B,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,ATP5G3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,DBI,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,DLAT,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,GPD1,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,LBP,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,PLIN1,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,PPP2R1B,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,PTGER3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,CILP,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,ADIPOQ,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,COL5A3,ImmEva,xCell,PMID29141660
Adipocytes_ENCODE_3,PNPLA2,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,ADH1B,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,ATP1A2,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,GPD1,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,HP,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,LBP,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,PLIN1,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,TF,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_1,ADIPOQ,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,ADH1B,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,ATP1A2,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,GPD1,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,HP,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,LBP,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,PLIN1,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,TF,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_2,ADIPOQ,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,ADH1B,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,ATP1A2,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,C6,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,GPD1,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,HP,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,LBP,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,PLIN1,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,TF,ImmEva,xCell,PMID29141660
Adipocytes_FANTOM_3,ADIPOQ,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,ADH1B,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,ATP5G3,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,DLAT,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,GPD1,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,HADHA,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,LBP,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,PLIN1,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,PPP1R1A,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,PPP2R1B,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,PTGER3,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,CILP,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,ADIPOQ,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,COL5A3,ImmEva,xCell,PMID29141660
Adipocytes_HPCA_1,PNPLA2,ImmEva,xCell,PMID29141660
